"Costs for inland shipping","Kaina už pristatymą šalies viduje"
"Costs for shipping to foreign countries","Kaina už pristatymą užsienyje"
"Custom text for checkout page","Tekstas el. parduotuvės mokėjimo puslapyje"
"Cash on Delivery","Mokėjimas pristatymo metu"
"Cash on Delivery fee","Mokestis už mokėjimą pristatymo metu"
"You will be charged an extra fee of %s.","Jums bus taikomas papildomas mokestis %s."
"Incl. Tax","su mokesčiais"
"Cash on Delivery fee (Excl.Tax)","Mokestis už mokėjimą pristatymo metu (be mokesčių)"
"Cash on Delivery fee (Incl.Tax)","Mokestis už mokėjimą pristatymo metu (su mokesčių)"
"Cash on Delivery fee %s","Mokestis už mokėjimą pristatymo metu %s"
"Refund Cash on Delivery fee","Mokesčio už mokėjimą pristatymo metu gražinimas"
"Cost calculation","Kainos skaičiavimas"
"Cost calculation base","Bazinė kaina"
"Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation.","Prašome įvesti sales_flat_quote_address atributo kodą, kuris bus naudojamas, kaip bazė kainų skaičiavimuose."
"Refund Cash on Delivery fee","Mokesčio už mokėjimą pristatymo metu gražinimas"
"Enabled","Įjungta"
"Display Zero Fee","Netaikyti mokesčio"
"New order status","Naujas užsakymo statusas"
"Sort order","Rikiavimo tvarka"
"Shipment to applicable countries","Pristatymas tik į parinktas šalis"
"Shipment to Specific countries","Pristatymas tik į specifines šalis"
"Minimum Order Total","Minimali užsakymo suma"
"Maximum Order Total","Maksimali užsakymo suma"
"Cost calculation","Kainos skaičiavimas"
"Disallow specific shipping methods","Išjungti specifinius pristatymo metodus"
"Disallowed shipping methods","Išjungti pristatymo metodai"
"Fixed","Fiksuota"
"Percent","Procentinė"
